URI,Album,Song Name,Artist,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
02dRkCEc8Q5ch4TTcnLxOn,Late Night Feelings,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson; Miley Cyrus,1,9,76,False,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.418,0.244,114.066,217099,4
4kV4N9D1iKVxx1KLvtTpjS,"thank u, next","break up with your girlfriend, i'm bored",Ariana Grande,1,12,73,True,0.727,0.554,5,-5.29,0,0.0915,0.0421,0.0,0.106,0.335,170.0,190440,4
07nH4ifBxUB4lZcsf44Brn,Motion,Blame (feat. John Newman),Calvin Harris; John Newman,1,3,80,False,0.414,0.857,0,-4.078,0,0.0808,0.0287,0.00574,0.343,0.348,128.024,212960,4
6dOtVTDdiauQNBQEDOtlAB,HIT ME HARD AND SOFT,BIRDS OF A FEATHER,Billie Eilish,1,4,98,False,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,210373,4
76JKIsdKrAfWUMjaA0u7v5,Unreal Unearth: Unaired,Too Sweet,Hozier,2,1,78,False,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,251424,4
2qSkIjg1o9h3YT9RAgYN75,Espresso,Espresso,Sabrina Carpenter,1,1,94,True,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,175459,4
5O4erNlJ74PIF6kGol1ZrC,Uprising,Could You Be Loved,Bob Marley & The Wailers,1,8,80,False,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.761,103.314,237000,4
5XeFesFbtLpXzIVDNQP22n,AM,I Wanna Be Yours,Arctic Monkeys,1,12,91,False,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956,4
2QjOHCTQ1Jl3zawyYOpxh6,I Love You.,Sweater Weather,The Neighbourhood,1,4,90,False,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4
7CyPwkp0oE8Ro9Dd5CUDjW,The Idol Episode 4 (Music from the HBO Original Series),"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd; JENNIE; Lily-Rose Depp,1,1,90,False,0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,244685,4
1BxfuPKGuaTgP7aM0Bbdwr,Lover,Cruel Summer,Taylor Swift,1,2,90,False,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4
3qhlB30KknSejmIvZZLjOD,DECIDE,End of Beginning,Djo,1,6,90,False,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,159246,4
6XjDF6nds4DE2BBbagZol6,Gata Only,Gata Only,FloyyMenor; Cris Mj,1,1,89,True,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,222000,4
3AJwUDP919kvQ9QcozQPxg,Parachutes,Yellow,Coldplay,1,5,89,False,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4
7KA4W4McWYRpgf0fWsJZWB,Flower Boy,See You Again (feat. Kali Uchis),"Tyler, The Creator; Kali Uchis",1,4,89,True,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,4
3vkCueOmm7xQDoJ17W1Pm3,The Land Is Inhospitable and So Are We,My Love Mine All Mine,Mitski,1,7,88,False,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,137773,4
2nLtzopw4rPReszdYBJU6h,Meteora,Numb,Linkin Park,1,13,88,False,0.488,0.87,6,-4.185,0,0.0421,0.00353,0.0,0.484,0.211,110.072,187520,4
0mflMxspEfB0VbI1kyLiAv,Stick Season,Stick Season,Noah Kahan,1,2,88,False,0.664,0.5,9,-6.935,1,0.0651,0.799,0.0,0.0966,0.801,117.896,182347,4
0VjIjW4GlUZAMYd2vXMi3b,After Hours,Blinding Lights,The Weeknd,1,9,88,False,0.513,0.73,1,-5.94,1,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,200040,4
0nJW01T7XtvILxQgC5J7Wh,Unorthodox Jukebox,When I Was Your Man,Bruno Mars,1,6,88,False,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4
6Qyc6fS4DsZjB2mRW9DsQs,Dizzy up the Girl,Iris,The Goo Goo Dolls,1,11,88,False,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,289533,3
4Dvkj6JhhA12EX05fT7y2e,Harry's House,As It Was,Harry Styles,1,4,88,False,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4
3xKsf9qdS1CyvXSMEid6g8,Blonde,Pink + White,Frank Ocean,1,3,87,False,0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,184516,3
0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,Apocalypse,Cigarettes After Sex,1,4,87,False,0.369,0.468,5,-9.013,1,0.0273,0.0205,0.566,0.109,0.18,94.434,290617,4
6RUKPb4LETWmmr3iAEQktW,Memories...Do Not Open,Something Just Like This,The Chainsmokers; Coldplay,1,5,87,False,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,4
3w3y8KPTfNeOKPiqUTakBh,Unorthodox Jukebox,Locked out of Heaven,Bruno Mars,1,2,87,False,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,4
60a0Rd6pjrkxjPbaKzXjfq,Hybrid Theory (Bonus Edition),In the End,Linkin Park,1,8,87,False,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880,4
7MXVkk9YMctZqd1Srtv4MB,Starboy,Starboy,The Weeknd; Daft Punk,1,1,88,True,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,230453,4
4SqWKzw0CbA05TGszDgMlc,I Love You So,I Love You So,The Walters,1,1,87,False,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,160240,4
6dgUya35uo964z7GZXM07g,emails i can't send,Nonsense,Sabrina Carpenter,1,9,87,False,0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,163648,4
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Beautiful Things,Benson Boone,1,1,87,False,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,180304,3
1JSTJqkT5qHq8MDJnJbRE1,Synchronicity (Remastered 2003),Every Breath You Take,The Police,1,7,87,False,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920,4
